Title,Title_URL,Image,Info,badgetext,ratingdate,partial_entry,View,Number,note,viamobile,talnk
"Nice food, nice place",https://www.tripadvisor.com.au/ShowUserReviews-g1006537-d4242544-r243020077-Thai_Lantern-Ivanhoe_Banyule_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e4/59/default-avatar-2020-49.jpg,wayne p,4 reviews,Reviewed 5 December 2014 ,"have a lunch over there, yummy food, nice green curry chicken in  reasonable price. Good service, good environment, like the sofa and window seat. Downside is not many choice in set menu, it will be nice to include Pad Thai.",Date of visit: November 2014,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
A bit unexpected,https://www.tripadvisor.com.au/ShowUserReviews-g1006537-d4242544-r239754827-Thai_Lantern-Ivanhoe_Banyule_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/b8/default-avatar-2020-22.jpg,Sida C,3 reviews,Reviewed 14 November 2014 ,"I had a quick casual lunch there a couple of weeks ago and ordered the Pat Kee Mow (which was not on the lunch special menu). The noodles tasted really nice and I had no complaints, but the shape of the noodle was thin (like...More",Date of visit: October 2014,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Another good thai food in the area,https://www.tripadvisor.com.au/ShowUserReviews-g1006537-d4242544-r237343319-Thai_Lantern-Ivanhoe_Banyule_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/08/a6/51/85/adiic.jpg,adiic,21 reviews,Reviewed 1 November 2014 ,"The food tastes good, just slightly more rustic/traditional for the prices. Overall good authentic thai tastes. We tried their lunch specials, but they only open for lunch Mon-Fri. Will probably try dinner sometime in the future.",Date of visit: October 2014,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Reliable & valued by locals,https://www.tripadvisor.com.au/ShowUserReviews-g1006537-d4242544-r221071014-Thai_Lantern-Ivanhoe_Banyule_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/eb/e3/default-avatar-2020-59.jpg,Alys-Schatzi,902 reviews,Reviewed 11 August 2014 ,"The Lantern is well patronised by locals, even on the early evenings of the week. I've eaten there twice for dinner, each time with visitors from out of town, and have found the dishes fine (though not especially memorable) and the atmosphere and service friendly.",Date of visit: December 2013,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
great local Thai,https://www.tripadvisor.com.au/ShowUserReviews-g1006537-d4242544-r215969009-Thai_Lantern-Ivanhoe_Banyule_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/17/50/ee/e4/anthea1010.jpg,Anthea1010,30 reviews,Reviewed 18 July 2014 ,"Well priced local Thai restaurant with friendly service.  The BBQ selection is delish; go for the pork!  Great for a quick lunchtime meal, or mid week dinner with friends.",Date of visit: June 2014,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Top Thai Restaurant,https://www.tripadvisor.com.au/ShowUserReviews-g1006537-d4242544-r206681968-Thai_Lantern-Ivanhoe_Banyule_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/02/43/aa/6c/brian-s.jpg,Brian S,245 reviews,Reviewed 23 May 2014 ,We have walked past this new restaurant a few times to eat but they have been very busy. The last occasion was Mothers' Day when it was packed. We have been to the other two Thai restaurants a little way up the road and thoroughly...More,Date of visit: May 2014,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Good Value Thai food,https://www.tripadvisor.com.au/ShowUserReviews-g1006537-d4242544-r182849867-Thai_Lantern-Ivanhoe_Banyule_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/01/88/f2/fe/pinotcanoz.jpg,julian p,62 reviews,Reviewed 30 October 2013 ,We went to the Thai Lantern for lunch while I was visiting family in Melbourne. After Phoenix It is amazing that a small suburb like Ivanhoe can have 3 Thai restaurants in one block.  The restaurant was packed probably due to their luncheon specials.  I...More,Date of visit: October 2013,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Very good Thai,https://www.tripadvisor.com.au/ShowUserReviews-g1006537-d4242544-r182157773-Thai_Lantern-Ivanhoe_Banyule_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e2/a7/default-avatar-2020-44.jpg,Harry O,16 reviews,Reviewed 24 October 2013 ,We love good Thai restaurants and this was a very good one. We wanted an early evening meal which was available in this very convenient location in the Ivanhoe shopping strip. H,Date of visit: September 2013,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Favorite restaurant is no more,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r863874712-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f2/b8/default-avatar-2020-26.jpg,619jeffry,"13,472 reviews",Reviewed 10 October 2022 ,"For the regulars who loved Bangkok House, its passing was much lamented. A new Chinese restaurant has taken its place, which is also popular.",Date of visit: July 2022,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Bye-bye Bangkok House,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r828295562-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f2/b8/default-avatar-2020-26.jpg,619jeffry,"13,472 reviews",Reviewed 17 February 2022 ,"Bangkok House, long a feature of the Avondale Heights dining scene, is a victim of the Covid pandemic. It closed down when the owners decided not to renew the lease. It's a pity, it was one of our favourite restaurants in Avondale Heights. By the...way, Avondale Heights has one of Australia's densest populations with Italian heritage.More",Date of visit: January 2022,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Mothers Day Dinner,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r788395188-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/10/ef/1b/24/taste-probar.jpg,Taste_Probar,70 reviews,Reviewed 10 May 2021 ,"This is our local Thai at the end of the street. We went there as a family of 3 for mothers day dinner. We were a late booking and were really glad they managed to fit us in. The staff were super busy with uber...orders and the place was fully booked.
They did an amazing job of getting our meals out and even though there was a wait it was not excessive given they were flat out. Great food, very friendly service. Glad these guys are back open.More",Date of visit: May 2021,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Thai restaurant is meeting place for friends,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r782398276-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",619jeffry,"13,472 reviews",Reviewed 6 February 2021 ,"Bangkok House is a  meeting place that welcomes friends. The three of us, all old friends, had not met for a while, so we had a few drinks to accompany a starter platter, which included, besides other things, spring rolls, curry puffs and pastry wrapped...prawns. For our main course we ordered sizzling steak, beef curry and pad Thai with chicken. Pad Thai, the classic Thai noodle dish, was generous in both noodles and chicken. Our host was feeling hungry, so he ordered three lots of roti bread  each for us. The fresh-made roti bread  was delectable and we ate them all. As it turned out, we had more than enough food. The service was prompt and the attitude was hospitable. Accompanied by some lively conversation, we had a memorable meal.More",Date of visit: February 2021,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Great tasting food,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r725365981-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",killerberry,122 reviews,Reviewed 10 November 2019 ,"I came here for my birthday with my family to have Sunday dinner 

The restaurant is easy to get to with plenty of free parking at the front and is located about 35 minutes west of the CBD 

The staff a very friendly and they...made you feel at home 

Food was delicious, fresh and very accommodating for food allergies 

Overall worth coming back for a cheeky takeaway or sit in meal

Ps if you need to get cash out. You can pay by card or there is westpac atm 2 shops downMore",Date of visit: November 2019,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
OK PLACE FOR QUICK THAI,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r712056820-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",rontMelbourneAU,70 reviews,Reviewed 23 September 2019 ,"This place is OK, but there are better Thai Restaurants in the area. 
Grandma's drunken noodles are worth a try, but beware they are quite spicy",Date of visit: July 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Authentic Thai food that hits the spot,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r676508866-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",619jeffry,"13,472 reviews",Reviewed 26 May 2019 ,"My friend and I often dine here, the food at Bangkok House is always good and reasonably priced. We started with sliced beef on a sizzle plate, followed by  green beef curry. Neither  of us eat much rice, so we had roti bread instead. We...concluded with green tea icecream, which was delicious. The wait staff arre alwys attentive. Remember to say 'Samwasdee,' it is Thai way to greet and honour a guest.More",Date of visit: May 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Let the boss take care of you,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r654470850-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",619jeffry,"13,472 reviews",Reviewed 24 February 2019 ,"At the Bangkok House, the proprietor will personally take care of your order. My friend dines there regularly and he says that he has never had a bad meal. I'll beleve it -- we had sizzling steak and a chicken and vegetable dish, which we...shared. The food was great. I am not a great rice eater, but the roti bread was very palatable. For dessert, we had green tea icecream and a coffee each. The green tea icecream was a little bland, but we enjoyed it.  You can order take-out but the restaurant's atmosphere is welcoming.. Prices are reasonable..More",Date of visit: February 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Always good,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r611497376-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Cazza1064,79 reviews,Reviewed 28 August 2018 ,"Good restaurants stand the test of time always good food and good service , the food is always fresh and you never have to wait too long , well worth a visit.",Date of visit: July 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Great local gem,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r595083776-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",matthewt050,128 reviews,Reviewed 11 July 2018 ,"First time there last night for dinner, and will be back. Took spouse there for dinner as daughter was having a sleep over near by. Time for some grown up time and food.    
We started with satay skewers and Thai fish cakes. These were the...best fish cakes I've had in Melbourne. Top 3 I've ever had.

For main we shared the Duck Curry (red curry) nad the Drunken Noodles. The noodles were of the ""Aunty's special menu"". Yep - Aunty was out the back cooking. 
Food at reasonable prices. Entrees $5-9, Mains $14-19. 
Two adults, two entrees and two mains with drinks - $66. I have no complaints. 
Well worth checking ouit for yourself.....More",Date of visit: July 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Consistently great. ,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r570268414-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",tonir1234,6 reviews,Reviewed 2 April 2018 ,Have never had a bad experience at Bangkok House. The food is terrific and the service is friendly and accommodating. Particularly love the Drunken Noodles and Chu Chee fish (excuse spelling!) but every time we order something we haven’t had before it goes to the...top of our favourite list. Thank you!!!More,Date of visit: April 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Another great Thai restaurant ,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r542781118-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",killerberry,122 reviews,Reviewed 23 November 2017 ,"The restaurant is located in Melbourne's West about 35 minutes from the CBD. 

There is parking at the front of the restaurant and a bottle shop next door

They do take away and dine in. Staff are very friendly and welcoming.

The menu has many...good selection, food taste great and fresh 

In all, very welcoming, good food, great value for money and worth coming back 

PS I didn't take a pic because I had eaten most of the food, next timeMore",Date of visit: November 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
"Good Thai food, reasonable price",https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r506720877-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",619jeffry,"13,472 reviews",Reviewed 29 July 2017 ,"We called ar this restaurant for dinner, it is a favourite of my host, The food was good, but nothing startling. The tom yum soup was satisfactory, as was the pad thai. We had some other dishes, which were good, plus roti. In all, I...would say that it was good value, but nothing brilliant,. The dessert, fried banana with ice-cream, was palatable but coffee is not offered.Service is good.More",Date of visit: July 2017,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Local Thai Gem,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r387276546-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",CP_travel_lover,75 reviews,Reviewed 29 June 2016 ,Great local Thai restaurant. Fresh ingredients; friendly service and easy parking out the front of the restaurant.,Date of visit: June 2016,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
The plate took me to Thailand,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r349584383-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Lingo L,3 reviews,Reviewed 21 February 2016 ,"The food and service are just hand in hand, perfection everytime I go! Even the vegetarian options are awesome",Date of visit: January 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Great Suburban Gem,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r347493284-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ef/9c/default-avatar-2020-14.jpg,Sandra G,64 reviews,Reviewed 14 February 2016 ,"They do great curries and the serving staff are very friendly and helpful.  This is a gem of a local suburban restaurant.  The ambiance could do with a little work but the tastiness of food is well with a visit.  Also, the prices are very...More",Date of visit: February 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Good local thai,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r306117758-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/77/ae/default-avatar-2020-2.jpg,esile1,28 reviews,Reviewed 2 September 2015 ,"Dined here recently with my husband. We experienced attentive service and enjoyed our meal, also ordering take-away for work lunches the following day. We will be back.",Date of visit: July 2015,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Great meal & inexpensive,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r300437455-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1c/08/09/17/dan-a.jpg,Dan A,156 reviews,Reviewed 18 August 2015 ,"Visited on a Friday night. Not too full, (about 5 tables taken). Nice ambience and waiting staff are attentive and friendly.

Food smelt great and tasted even better. Lovely meal. Total cost was $91 (2 x entrée, 2 mains, Rice, drinks - both alcoholic &...More",Date of visit: August 2015,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Authentic!,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r272270647-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/df/2b/default-avatar-2020-39.jpg,Paul F,21 reviews,Reviewed 16 May 2015 ,"Absolutely the best Thai I have had outside of Thailand . Great food, great prices and awesome service. I'm going to order again NOW 👍",,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Excellent Thai Cuisine,https://www.tripadvisor.com.au/ShowUserReviews-g8154587-d4791678-r228552869-Bangkok_House-Avondale_Heights_Moonee_Valley_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/06/default-avatar-2020-18.jpg,Beth Rose M,10 reviews,Reviewed 13 September 2014 ,"I am lucky to have lived on the street where this restaurant is located! The food is amazing and they are always friendly, they can custom the beat on any dish to your liking and have great roti bread!",Date of visit: September 2014,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Our favorite restuarant,https://www.tripadvisor.com.au/ShowUserReviews-g255100-d5092043-r893940586-Lanna_Thai_Restaurant-Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/de/e7/default-avatar-2020-37.jpg,Marion C,4 reviews,Reviewed 8 June 2023 ,Best restaurant food in Melbourne.  Lovely food. to share.  We always take some home and freeze it.  Our favorite for many years.,Date of visit: March 2023,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
The food is lovely,https://www.tripadvisor.com.au/ShowUserReviews-g255100-d5092043-r635966812-Lanna_Thai_Restaurant-Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/05/09/06/12/steve-h.jpg,SteveH913,210 reviews,Reviewed 27 November 2018 ,"Firstly the good stuff. The food is excellent. Every dish was tasty and tasted authentically Thai. 
The not so good stuff. Guys, More table service please. We waited and waited and waited to get a drink order. AND finally they came to our table even...though we were only sitting 2 metres from we they take the orders. Then no more offers for more drinks. THEN we got their attention for a drink and they forgot to bring it. Ah well.......
That aside I would recommend this restaurant BUT make sure you tell them to keep bringing you drinksMore",Date of visit: November 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Best Thai,https://www.tripadvisor.com.au/ShowUserReviews-g255100-d5092043-r622808478-Lanna_Thai_Restaurant-Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/14/f5/aa/78/robyn-g.jpg,Robyn G,2 reviews,Reviewed 7 October 2018 ,Lanna Thai has wonderful food and excellent service. It's worth a visit and is awesome value for money. Will definitely be back.,Date of visit: October 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
I am still angry about the service and the poor quality of food.,https://www.tripadvisor.com.au/ShowUserReviews-g255100-d5092043-r587797131-Lanna_Thai_Restaurant-Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",G1455XBdavidf,686 reviews,Reviewed 16 June 2018 ,"Lunch during the week.  The place was full with people from  the university and hospitals.  Clearly the place simply doesnt care about its patrons.  To be fair on the staff they were run off their feet but really this is no excuse because they knew...how many had booked.  It took a long time to take our order.  The food came in dribs and drabs, some people were served 30 min after others.  They got orders wrong because they were rushing to take the order.  The food was ordinary quality.  The serve sizes were very small.  I say it again it is clear this restaurant doesnt care about its clients.More",Date of visit: June 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Best meal ,https://www.tripadvisor.com.au/ShowUserReviews-g255100-d5092043-r575585877-Lanna_Thai_Restaurant-Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",siskab2014,57 reviews,Reviewed 25 April 2018 ,"Amazing fresh tasty food, favorite meal in Melbourne on a month trip. Cosy restaurant and nice vibe. Didn't have to wait very long for meals either",Date of visit: April 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Mouth Watering,https://www.tripadvisor.com.au/ShowUserReviews-g255100-d5092043-r572756301-Lanna_Thai_Restaurant-Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",afrahtahsin,1 review,Reviewed 12 April 2018 ,The food is so so tasty. I come here so often and I absolutely never get bored of the place!! Nice setting and pretty cutlery too. 5 STARS DEFINITELY recommend this place.,Date of visit: April 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Nice Pad Thai ,https://www.tripadvisor.com.au/ShowUserReviews-g255100-d5092043-r550574445-Lanna_Thai_Restaurant-Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",yola9963,15 reviews,Reviewed 1 January 2018 ,"Usually come here to take away, and so far finding pad thai quite nice. Also recommend the soup, list second on the menu(can’t remember the name) (with coconut flavor)",Date of visit: October 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Tasty Thai,https://www.tripadvisor.com.au/ShowUserReviews-g255100-d5092043-r529404626-Lanna_Thai_Restaurant-Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Jason_Jacqui,107 reviews,Reviewed 3 October 2017 ,Got takeaway from here during the week. The food was very tasty & authentic. Will definitely be back.,Date of visit: October 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Good Pad See Yew,https://www.tripadvisor.com.au/ShowUserReviews-g255100-d5092043-r503772213-Lanna_Thai_Restaurant-Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",David K,27 reviews,Reviewed 20 July 2017 ,"Very good, super fast and super tasty, I came here twice in the same week from the hotel up the road, very busy both times. They also do take away",Date of visit: July 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Tasty take away,https://www.tripadvisor.com.au/ShowUserReviews-g255100-d5092043-r476048114-Lanna_Thai_Restaurant-Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Catherine J A,273 reviews,Reviewed 16 April 2017 ,Walked from hotel to get a takeaway dinner of beef with cashews and rice for just over $15. Service was friendly. Tiny restaurant was busy for a Tuesday night but service was fast. Food was tasty although included an abundance of onion! A little gem...in the shadows of the hospitals. Will be back.More,Date of visit: April 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
